# Source: http://celex.mpi.nl/ with unknown license

#-----------------------------------------------------------------------
# test that we can override the stemming algorithm with our own mappings
# these must be tab-separated
# monkeys	monkey
# otters	otter
# some crazy ones that a stemmer would never do
# dogs	cat
a-al-tolletjes	a-al-tol
falbalaatjes	falbala
falbala's	falbala
falen	faal
falend	faal
falende	faal
falies	falie
falietje	falie
falietjes	falie
fallisme	fallisme
fallocratieen	fallocratie
fallussen	fallus
fallussymbool	fallussymbool
falsarissen	falsaris
falsetstemmen	falsetstem
falsificatieprincipe	falsificatieprincipe
falsificaties	falsificatie
falsificeer	falsificeer
falsificeerbaar	falsificeerbaar
falsificeerde	falsificeer
falsificeerden	falsificeer
falsificeert	falsificeer
falsificeren	falsificeer
falsificerend	falsificeer
falsificerende	falsificeer
falsifieerbaar	falsifieerbaar
falsifieerbaarheid	falsifieerbaarheid
falsifieerde	falsifieer
falsifieerden	falsifieer
falsifieert	falsifieer
falsifieren	falsifieer
falsifierend	falsifieer
falsifierende	falsifieer
falsifiering	falsifiering
falsifieringen	falsifiering
fameus	fameuz
fameust	fameuz
fameuste	fameuz
fameuzer	fameuz
fameuzere	fameuz
familiaalst	familiaal
familiaalste	familiaal
familiaarder	familiaar
familiaardere	familiaar
familiaarst	familiaar
familiaarste	familiaar
familiairder	familiair
familiairdere	familiair
familiairst	familiair
familiairste	familiair
familiale	familiaal
familialer	familiaal
familialere	familiaal
familiales	familiale
familiare	familiaar
familiariseer	familiariseer
familiariseerde	familiariseer
familiariseerden	familiariseer
familiariseert	familiariseer
familiariseren	familiariseer
familiariserend	familiariseer
familiariserende	familiariseer
familieaangelegenheden	familieaangelegenheid
familieaangelegenheid	familieaangelegenheid
familieanamnese	familieanamnese
familiebedrijf	familiebedrijv
familiebedrijfje	familiebedrijv
familiebedrijfjes	familiebedrijv
familiebetrekking	familiebetrekking
familiebetrekkingen	familiebetrekking
familiebomen	familieboom
familieboom	familieboom
familiebrief	familiebriev
familieconnecties	familieconnectie
familiedrama's	familiedrama
familiefeestje	familiefeest
familiefeestjes	familiefeest
familiefoto's	familiefoto
familiegelijkenissen	familiegelijkenis
familiegeschiedenissen	familiegeschiedenis
familiegevoelen	familiegevoelen
familiegoederen	familiegoed
familiegraf	familiegrav
familiehoeve	familiehoeve
familiejuweel	familiejuweel
familiekring	familiekring
familiekringen	familiekring
familiekwaal	familiekwaal
familiekwalen	familiekwaal
familiekwesties	familiekwestie
familieleden	familielid
familieleven	familieleven
familienaam	familienaam
familienamen	familienaam
familienieuws	familienieuws
familieomstandigheden	familieomstandigheid
familieoudste	familieoudste
familieoudsten	familieoudste
familieprobleem	familieprobleem
familieproblemen	familieprobleem
familieraad	familieraad
familieraden	familieraad
familierechtelijk	familierechtelijk
familieregering	familieregering
familieregeringen	familieregering
familierelaties	familierelatie
familiereunies	familiereunie
families	familie
familieseries	familieserie
familiesfeer	familiesfeer
familiestructuren	familiestructuur
familiestructuur	familiestructuur
familiesysteem	familiesysteem
familietradities	familietraditie
familietragedies	familietragedie
familietrekje	familietrek
familievete	familievete
familieveten	familievete
familievetes	familievete
familievriend	familievriend
familiewapen	familiewapen
familiezaak	familiezaak
familiezaken	familiezaak
fanaal	fanaal
fanaaltje	fanaal
fanaaltjes	fanaal
fanaat	fanaat
fanalen	fanaal
fanate	fanaat
fanaten	fanaat
fanatici	fanaticus
fanatiekeling	fanatiekeling
fanatiekelingen	fanatiekeling
fanatieker	fanatiek
fanatiekere	fanatiek
fanatiekst	fanatiek
fanatiekste	fanatiek
fanatisme	fanatisme
fancy-artikelen	fancy-artikel
fancy-artikels	fancy-artikel
fancy-fairs	fancy-fair
fandango's	fandango
fanerogaam	fanerogaam
fanerogamen	fanerogaam
fanfare	fanfare
fanfarecorps	fanfarecorps
fanfarekorps	fanfarekorps
fanfaren	fanfare
fanfares	fanfare
fanfaretje	fanfare
Fanny	Fanny
fantaseer	fantaseer
fantaseerde	fantaseer
fantaseerden	fantaseer
fantaseert	fantaseer
fantaseren	fantaseer
fantaserend	fantaseer
fantaserende	fantaseer
fantasia's	fantasia
fantasieen	fantasie
fantasiekostuum	fantasiekostuum
fantasiekostuums	fantasiekostuum
fantasieloos	fantasielooz
fantasieloost	fantasielooz
fantasielooste	fantasielooz
fantasieloze	fantasielooz
fantasielozer	fantasielooz
fantasielozere	fantasielooz
fantasienaam	fantasienaam
fantasienamen	fantasienaam
fantasie-oefeningen	fantasie-oefening
fantasierijker	fantasierijk
fantasierijkere	fantasierijk
fantasierijkst	fantasierijk
fantasierijkste	fantasierijk
fantasiestoffen	fantasiestof
fantasietje	fantasie
fantasietjes	fantasie
fantasievolle	fantasievol
fantasmagorieen	fantasmagorie
fantasmagorischer	fantasmagorisch
fantasmagorischere	fantasmagorisch
fantasmagorischt	fantasmagorisch
fantasmagorischte	fantasmagorisch
fantaste	fantaste
fantasten	fantaste
fantastischer	fantastisch
fantastischere	fantastisch
fantastischt	fantastisch
fantastischte	fantastisch
fantomen	fantoom
fantoom	fantoom
farao's	farao
Farber	Farber
farce	farce
farceer	farceer
farceerde	farceer
farceerden	farceer
farceert	farceer
farcen	farce
farceren	farceer
farcerend	farceer
farcerende	farceer
farces	farce
farde	farde
farden	farde
fardes	farde
Farizeeen	Farizee
farizees	farizees
farizeese	farizees
farizeeser	farizees
farizeesere	farizees
farizeest	farizees
farizeeste	farizees
farizeischer	farizeisch
farizeischere	farizeisch
farizeischt	farizeisch
farizeischte	farizeisch
farizeisme	farizeisme
farmaca	farmacon
farmacologen	farmacoloog
farmacoloog	farmacoloog
farmacopees	farmacopee
farmacotheek	farmacotheek
farmacotheken	farmacotheek
farootje	faro
farootjes	faro
farussen	farus
faryngaal	faryngaal
faryngale	faryngaal
faryngalen	faryngaal
fa's	fa
fascinaties	fascinatie
fascine	fascine
fascineer	fascineer
fascineerde	fascineer
fascineerden	fascineer
fascineert	fascineer
fascinen	fascine
fascineren	fascineer
fascinerend	fascineer
fascinerende	fascineer
fascines	fascine
fascisme	fascisme
fasciste	fasciste
fascistischer	fascistisch
fascistischere	fascistisch
fascistischt	fascistisch
fascistischte	fascistisch
fascistoide	fascistoide
fase	fase
faseer	faseer
faseerde	faseer
faseerden	faseer
faseert	faseer
fasen	fase
faseren	faseer
faserend	faseer
faserende	faseer
fasering	fasering
faseringen	fasering
faseringsmogelijkheid	faseringsmogelijkheid
fases	fase
fasseel	fasseel
fasselen	fasseel
fata	fatum
fataal	fataal
fataalst	fataal
fataalste	fataal
fatale	fataal
fataler	fataal
fatalere	fataal
fatalisme	fatalisme
fataliste	fataliste
fatalistischer	fatalistisch
fatalistischere	fatalistisch
fatalistischt	fatalistisch
fatalistischte	fatalistisch
Fatima	Fatima
fats	fats
fatsoeneer	fatsoeneer
fatsoeneerde	fatsoeneer
fatsoeneerden	fatsoeneer
fatsoeneert	fatsoeneer
fatsoeneren	fatsoeneer
fatsoenerend	fatsoeneer
fatsoenerende	fatsoeneer
fatsoenering	fatsoenering
fatsoeneringen	fatsoenering
fatsoenlijk	fatsoenlijk
fatsoenlijke	fatsoenlijk
fatsoenlijker	fatsoenlijk
fatsoenlijkere	fatsoenlijk
fatsoenlijkheid	fatsoenlijkheid
fatsoenlijkst	fatsoenlijk
fatsoenlijkste	fatsoenlijk
fatsoenshalve	fatsoenshalve
fatsoentje	fatsoen
fatsoentjes	fatsoen
fatterig	fatterig
fatterige	fatterig
fatteriger	fatterig
fatterigere	fatterig
fatterigheid	fatterigheid
fatterigst	fatterig
fatterigste	fatterig
fattiger	fattig
fattigere	fattig
fattigst	fattig
fattigste	fattig
Faulkner	Faulkner
fauna's	fauna
fauntje	faun
fauntjes	faun
faussetstemmen	faussetstem
Faust	Faust
fauteuilstellen	fauteuilstel
fauteuiltje	fauteuil
fauteuiltjes	fauteuil
fauvisme	fauvisme
faveurtje	faveur
faveurtjes	faveur
favoriseer	favoriseer
favoriseerde	favoriseer
favoriseerden	favoriseer
favoriseert	favoriseer
favoriseren	favoriseer
favoriserend	favoriseer
favoriserende	favoriseer
faxend	fax
faxende	fax
faxt	fax
faxte	fax
faxten	fax
fazanteeieren	fazanteei
fazantehaan	fazantehaan
fazantehanen	fazantehaan
fazantehen	fazantehen
fazantehennen	fazantehen
fazanteveer	fazanteveer
fazanteveren	fazanteveer
fazen	faaz
feature	feature
features	feature
Februariomwenteling	Februariomwenteling
fecaal	fecaal
fecale	fecaal
fecalien	fecalie
federaal	federaal
federale	federaal
federalen	federaal
federaliseer	federaliseer
federaliseerde	federaliseer
federaliseerden	federaliseer
federaliseert	federaliseer
federaliseren	federaliseer
federaliserend	federaliseer
federaliserende	federaliseer
federalisering	federalisering
federalisme	federalisme
federalistischer	federalistisch
federalistischere	federalistisch
federalistischt	federalistisch
federalistischte	federalistisch
federatief	federatiev
federaties	federatie
federeer	federeer
federeerde	federeer
federeerden	federeer
federeert	federeer
federeren	federeer
federerend	federeer
federerende	federeer
feed-back-mechanismen	feed-back-mechanisme
feeen	fee
feeengedaante	feeengedaante
feeengedaanten	feeengedaante
feeengedaantes	feeengedaante
feeenkoninginnen	feeenkoningin
feeerieen	feeerie
feeerieker	feeeriek
feeeriekere	feeeriek
feeeriekst	feeeriek
feeeriekste	feeeriek
feeerietje	feeerie
feeerietjes	feeerie
feeks	feeks
feestcomite	feestcomite
feestcomites	feestcomite
feestcommissies	feestcommissie
feestdissen	feestdis
feestelijker	feestelijk
feestelijkere	feestelijk
feestelijkheden	feestelijkheid
feestelijkheid	feestelijkheid
feestelijkst	feestelijk
feestelijkste	feestelijk
feesteling	feesteling
feestelinge	feestelinge
feestelingen	feestelinge
feestend	feest
feestende	feest
feestfiguren	feestfiguur
feestfiguur	feestfiguur
feestgenoot	feestgenoot
feestgenote	feestgenote
feestgenoten	feestgenoot
feestgevierd	feestvier
feestgewaad	feestgewaad
feestgewaden	feestgewaad
feestje	feest
feestjes	feest
feestliederen	feestlied
feestmaal	feestmaal
feestmalen	feestmaal
feestmarche	feestmarche
feestmarchen	feestmarche
feestmars	feestmars
feestneus	feestneuz
feestprogramma's	feestprogramma
feestrede	feestrede
feestredenaar	feestredenaar
feestredenaars	feestredenaar
feestredes	feestrede
feestroes	feestroez
feestvarken	feestvarken
feestvergadering	feestvergadering
feestvergaderingen	feestvergadering
feestverlichting	feestverlichting
feestverlichtingen	feestverlichting
feestvierde	feestvier
feestvierden	feestvier
feestviering	feestviering
feestvieringen	feestviering
feestviert	feestvier
feestvreugde	feestvreugde
feestweek	feestweek
feestweken	feestweek
feestzaal	feestzaal
feestzalen	feestzaal
feetje	fee
feetjes	fee
feilbaar	feilbaar
feilbaarheid	feilbaarheid
feilbare	feilbaar
feilde	feil
feilden	feil
feilend	feil
feilende	feil
feilloos	feillooz
feilloosheid	feilloosheid
feilloze	feillooz
feillozer	feillooz
feilt	feil
feiltje	feil
feiltjes	feil
feitelijkheden	feitelijkheid
feitelijkheid	feitelijkheid
feitje	feit
feitjes	feit
felgeel	felgeel
felgele	felgeel
Felice	Felice
felicitatiebrief	felicitatiebriev
felicitaties	felicitatie
feliciteer	feliciteer
feliciteerde	feliciteer
feliciteerden	feliciteer
feliciteert	feliciteer
feliciteren	feliciteer
feliciterend	feliciteer
feliciterende	feliciteer
Felipe	Felipe
Felix	Felix
fellah's	fellah
felle	fel
feller	fel
fellere	fel
felomstreden	felomstreden
felonieen	felonie
fels	fels
felsend	fels
felsende	fels
felsmachine	felsmachine
felsmachines	felsmachine
felst	fel
felste	fel
felsten	fels
femelaar	femelaar
femelaars	femelaar
femelaartje	femelaar
femelaartjes	femelaar
femelachtig	femelachtig
femelachtige	femelachtig
femelaren	femelaar
femelde	femel
femelden	femel
femelt	femel
feminina	femininum
feminisering	feminisering
feminisme	feminisme
feministe	feministe
feministischer	feministisch
feministischere	feministisch
feministischt	feministisch
feministischte	feministisch
feniks	feniks
fenoloplossing	fenoloplossing
fenoloplossingen	fenoloplossing
fenolverfstoffen	fenolverfstof
fenolvergiftiging	fenolvergiftiging
fenolvergiftigingen	fenolvergiftiging
fenomeen	fenomeen
fenomeentje	fenomeen
fenomeentjes	fenomeen
fenomenaal	fenomenaal
fenomenaalst	fenomenaal
fenomenaalste	fenomenaal
fenomenale	fenomenaal
fenomenaler	fenomenaal
fenomenalere	fenomenaal
fenomenalisme	fenomenalisme
fenomenen	fenomeen
fenotype	fenotype
fenteneel	fenteneel
fentenelen	fenteneel
feodaal	feodaal
feodaalst	feodaal
feodaalste	feodaal
feodale	feodaal
feodaler	feodaal
feodalere	feodaal
feodalisering	feodalisering
feodalisme	feodalisme
feppen	fep
feppend	fep
feppende	fep
fept	fep
fepte	fep
fepten	fep
Ferdinand	Ferdinand
fermate	fermate
fermaten	fermate
fermentatieprocessen	fermentatieproces
fermentaties	fermentatie
fermenteer	fermenteer
fermenteerde	fermenteer
fermenteerden	fermenteer
fermenteerschuren	fermenteerschuur
fermenteerschuur	fermenteerschuur
fermenteert	fermenteer
fermenteren	fermenteer
fermenterend	fermenteer
fermenterende	fermenteer
fermentolien	fermentolie
fermer	ferm
fermere	ferm
fermoor	fermoor
fermoortje	fermoor
fermoortjes	fermoor
fermoren	fermoor
fermst	ferm
fermste	ferm
Fernand	Fernand
Fernando	Fernando
ferrietantenne	ferrietantenne
ferrietantennes	ferrietantenne
ferryboot	ferryboot
ferryboten	ferryboot
fertilisaties	fertilisatie
ferventer	fervent
ferventere	fervent
ferventst	fervent
ferventste	fervent
fessen	fes
festoentje	festoen
festoentjes	festoen
festonneer	festonneer
festonneerde	festonneer
festonneerden	festonneer
festonneersteek	festonneersteek
festonneersteken	festonneersteek
festonneert	festonneer
festonneren	festonneer
festonnerend	festonneer
festonnerende	festonneer
festonnetje	feston
festonnetjes	feston
feteer	feteer
feteerde	feteer
feteerden	feteer
feteert	feteer
feteren	feteer
feterend	feteer
feterende	feteer
fetisjisme	fetisjisme
feudaal	feudaal
feudaalst	feudaal
feudaalste	feudaal
feudale	feudaal
feudaler	feudaal
feudalere	feudaal
feudalisering	feudalisering
feudalisme	feudalisme
Feuerbach	Feuerbach
feuilletedeeg	feuilletedeeg
feuilleteer	feuilleteer
feuilleteerde	feuilleteer
feuilleteerden	feuilleteer
feuilleteert	feuilleteer
feuilleteren	feuilleteer
feuilleterend	feuilleteer
feuilleterende	feuilleteer
feuilletonnetje	feuilleton
feuilletonnetjes	feuilleton
fezelde	fezel
fezelden	fezel
fezelt	fezel
fezzen	fez
f-gaten	f-gat
fiasco's	fiasco
fiatteer	fiatteer
fiatteerde	fiatteer
fiatteerden	fiatteer
fiatteert	fiatteer
fiatteren	fiatteer
fiatterend	fiatteer
fiatterende	fiatteer
fiattering	fiattering
fiatteringen	fiattering
fiberglas	fiberglaz
fiberscoop	fiberscoop
fiberscopen	fiberscoop
fibreus	fibreuz
fibrillaties	fibrillatie
fibrilleer	fibrilleer
fibrilleerde	fibrilleer
fibrilleerden	fibrilleer
fibrilleert	fibrilleer
fibrillen	fibril
fibrilleren	fibrilleer
fibrillerend	fibrilleer
fibrillerende	fibrilleer
fibrine	fibrine
fibrinogeen	fibrinogeen
fibromen	fibroom
fibroom	fibroom
fibulae	fibula
fibula's	fibula
fiche	fiche
ficheer	ficheer
ficheerde	ficheer
ficheerden	ficheer
ficheert	ficheer
ficheren	ficheer
ficherend	ficheer
ficherende	ficheer
fiches	fiche
fichesdoos	fichesdooz
fichesdozen	fichesdooz
fichu's	fichu
fichuutje	fichu
fichuutjes	fichu
fictief	fictiev
fictiefst	fictiev
fictiefste	fictiev
ficties	fictie
fictiever	fictiev
fictievere	fictiev
fictioneel	fictioneel
fictionele	fictioneel
ficussen	ficus
fideel	fideel
fideelst	fideel
fideelste	fideel
fidei-commissaire	fidei-commissair
fidei-commissarissen	fidei-commissaris
fidei-commissen	fidei-commis
fideisme	fideisme
Fidel	Fidel
fidele	fideel
fideler	fideel
fidelere	fideel
fidibussen	fidibus
fiedelde	fiedel
fiedelden	fiedel
fiedelt	fiedel
fiedeltje	fiedel
fiedeltjes	fiedel
fieldend	field
fieldende	field
fieldt	field
fieltachtig	fieltachtig
fieltachtige	fieltachtig
fieltenstreek	fieltenstreek
fieltenstreken	fieltenstreek
fielterig	fielterig
fielterige	fielterig
fielteriger	fielterig
fielterigere	fielterig
fielterigheid	fielterigheid
fielterigst	fielterig
fielterigste	fielterig
fieltiger	fieltig
fieltigere	fieltig
fieltigst	fieltig
fieltigste	fieltig
fierder	fier
fierdere	fier
fierst	fier
fierste	fier
fieselemieen	fieselemie
fieteldans	fieteldans
fiets	fiets
fietsbellen	fietsbel
fietsend	fiets
fietsende	fiets
fietsendief	fietsendiev
fietsenstalling	fietsenstalling
fietsenstallingen	fietsenstalling
fietsertje	fietser
fietsertjes	fietser
fietsjes	fiets
fietsjongen	fietsjongen
fietskarren	fietskar
fietsketting	fietsketting
fietskettingen	fietsketting
fietsklemmen	fietsklem
fietspompje	fietspomp
fietsroute	fietsroute
fietsrouten	fietsroute
fietsroutes	fietsroute
fietsslotpaal	fietsslotpaal
fietsslotpalen	fietsslotpaal
fietsstroken	fietsstrook
fietsstrook	fietsstrook
fietst	fiets
fietstassen	fietstas
fietstaxi's	fietstaxi
fietste	fiets
fietsten	fiets
fietsvakanties	fietsvakantie
figaro's	figaro
figgelde	figgel
figgelden	figgel
figgelt	figgel
figuraal	figuraal
figurale	figuraal
figurante	figurante
figurantenrollen	figurantenrol
figurantje	figurant
figuratief	figuratiev
figuraties	figuratie
figureer	figureer
figureerde	figureer
figureerden	figureer
figureert	figureer
figuren	figuur
figureren	figureer
figurerend	figureer
figurerende	figureer
figurisme	figurisme
figuur	figuur
figuurdans	figuurdans
figuurlijk	figuurlijk
figuurlijke	figuurlijk
figuurnaad	figuurnaad
figuurnaadjes	figuurnaad
figuurnaden	figuurnaad
figuuroefening	figuuroefening
figuuroefeningen	figuuroefening
figuurstudies	figuurstudie
figuurtje	figuur
figuurtjes	figuur
figuurzaag	figuurzaag
figuurzagen	figuurzaag
figuurzwemmen	figuurzwem
fijfelde	fijfel
fijfelden	fijfel
fijfelt	fijfel
fijnbesnaarder	fijnbesnaard
fijnbesnaardere	fijnbesnaard
fijnbesnaardst	fijnbesnaard
fijnbesnaardste	fijnbesnaard
fijndradig	fijndradig
fijndradige	fijndradig
fijne	fijne
fijnen	fijne
fijner	fijn
fijnere	fijn
fijngehakt	fijnhak
fijngehakte	fijnhak
fijngekauwd	fijnkauw
fijngekauwde	fijnkauw
fijngeknepen	fijnknijp
fijngemaakt	fijnmaak
fijngemaakte	fijnmaak
fijngemalen	fijnmaal
fijngeslagen	fijnsla
fijngesneden	fijnsnijd
fijngestampt	fijnstamp
fijngestampte	fijnstamp
fijngestoten	fijnstoot
fijngetrapt	fijntrap
fijngetrapte	fijntrap
fijngevoelig	fijngevoelig
fijngevoelige	fijngevoelig
fijngevoeliger	fijngevoelig
fijngevoeligere	fijngevoelig
fijngevoeligheid	fijngevoeligheid
fijngevoeligst	fijngevoelig
fijngevoeligste	fijngevoelig
fijngewreven	fijnwrijv
fijnhakt	fijnhak
fijnhakte	fijnhak
fijnhakten	fijnhak
fijnhoutfineer	fijnhoutfineer
fijnigheden	fijnigheid
fijnigheid	fijnigheid
fijnkauwde	fijnkauw
fijnkauwden	fijnkauw
fijnkauwt	fijnkauw
fijnkneep	fijnknijp
fijnknepen	fijnknijp
fijnknijpt	fijnknijp
fijnkorrelig	fijnkorrelig
fijnkorrelige	fijnkorrelig
fijnmaak	fijnmaak
fijnmaakt	fijnmaak
fijnmaakte	fijnmaak
fijnmaakten	fijnmaak
fijnmaal	fijnmaal
fijnmaalde	fijnmaal
fijnmaalden	fijnmaal
fijnmaalt	fijnmaal
fijnmaken	fijnmaak
fijnmakend	fijnmaak
fijnmakende	fijnmaak
fijnmalen	fijnmaal
fijnmalend	fijnmaal
fijnmalende	fijnmaal
fijnmazig	fijnmazig
fijnmazige	fijnmazig
fijnmazigheid	fijnmazigheid
fijnmechanici	fijnmechanicus
fijnregeling	fijnregeling
fijnregelkraan	fijnregelkraan
fijnregelkranen	fijnregelkraan
fijnslaan	fijnsla
fijnslaand	fijnsla
fijnslaande	fijnsla
fijnslaat	fijnsla
fijnsloeg	fijnsla
fijnsloegen	fijnsla
fijnsneden	fijnsnijd
fijnsneed	fijnsnijd
fijnsnijdt	fijnsnijd
fijnsparren	fijnspar
fijnspinmachine	fijnspinmachine
fijnspinmachines	fijnspinmachine
fijnst	fijn
fijnstampt	fijnstamp
fijnstampte	fijnstamp
fijnstampten	fijnstamp
fijnste	fijn
fijnstoffelijk	fijnstoffelijk
fijnstoffelijke	fijnstoffelijk
fijnstoot	fijnstoot
fijnstootte	fijnstoot
fijnstootten	fijnstoot
fijnstoten	fijnstoot
fijnstotend	fijnstoot
fijnstotende	fijnstoot
fijnte	fijnte
fijnten	fijnte
fijntes	fijnte
fijntrappen	fijntrap
fijntrappend	fijntrap
fijntrappende	fijntrap
fijntrapt	fijntrap
fijntrapte	fijntrap
fijntrapten	fijntrap
fijnvoelend	fijnvoelend
fijnvoelende	fijnvoelend
fijnvoelender	fijnvoelend
fijnvoelendere	fijnvoelend
fijnvoelendst	fijnvoelend
fijnvoelendste	fijnvoelend
fijnwreef	fijnwrijv
fijnwreven	fijnwrijv
fijnwrijf	fijnwrijv
fijnwrijft	fijnwrijv
fijnzinnig	fijnzinnig
fijnzinnige	fijnzinnig
fijnzinniger	fijnzinnig
fijnzinnigere	fijnzinnig
fijnzinnigst	fijnzinnig
fijnzinnigste	fijnzinnig
fikfakt	fikfak
fikfakte	fikfak
fikfakten	fikfak
fikkend	fik
fikkende	fik
fikkies	fikkie
fiks	fiks
fikse	fiks
fiksend	fiks
fiksende	fiks
fikser	fiks
fiksere	fiks
fikst	fiks
fikste	fiks
fiksten	fiks
fikt	fik
fikte	fik
fikten	fik
filagrammen	filagram
filantroop	filantroop
filantropen	filantroop
filantropischer	filantropisch
filantropischere	filantropisch
filantropischt	filantropisch
filantropischte	filantropisch
file	file
fileer	fileer
fileerde	fileer
fileerden	fileer
fileert	fileer
fileren	fileer
filerend	fileer
filerende	fileer
files	file
filevorming	filevorming
filiaalbedrijf	filiaalbedrijv
filiaalcheffinnen	filiaalcheffin
filiaaltje	filiaal
filiaaltjes	filiaal
filiale	filiaal
filialen	filiaal
filiaties	filiatie
filigraan	filigraan
filigrammen	filigram
Filip	Filip
filippica's	filippica
filippine	filippine
filippines	filippine
Filippino	Filippino
Filippinoen	Filippino
Filips	Filips
filmacademien	filmacademie
filmacademies	filmacademie
filmachtig	filmachtig
filmachtige	filmachtig
filmactrice	filmactrice
filmactrices	filmactrice
filmapparaturen	filmapparatuur
filmapparatuur	filmapparatuur
filmarchief	filmarchiev
filmartieste	filmartieste
filmartiestes	filmartieste
filmbedrijf	filmbedrijv
filmbewerking	filmbewerking
filmbewerkingen	filmbewerking
filmbreedte	filmbreedte
filmbreedten	filmbreedte
filmbreedtes	filmbreedte
filmcamera's	filmcamera
filmcensuur	filmcensuur
filmde	film
filmden	film
filmdiva's	filmdiva
filmedities	filmeditie
filmend	film
filmende	film
filmformaat	filmformaat
filmformaten	filmformaat
filmhuis	filmhuiz
filmischer	filmisch
filmischere	filmisch
filmischt	filmisch
filmischte	filmisch
filmjournaal	filmjournaal
filmjournaals	filmjournaal
filmjournalen	filmjournaal
filmkeuring	filmkeuring
filmkeuringen	filmkeuring
filmlassen	filmlas
filmliga's	filmliga
filmoperatrice	filmoperatrice
filmoperatrices	filmoperatrice
filmopname	filmopname
filmopnamen	filmopname
filmopnames	filmopname
filmopneming	filmopneming
filmotheek	filmotheek
filmotheken	filmotheek
filmpers	filmpers
filmpje	film
filmpjes	film
filmregisseuse	filmregisseuse
filmregisseuses	filmregisseuse
filmrollen	filmrol
filmscenario's	filmscenario
filmsterren	filmster
filmstroken	filmstrook
filmstrook	filmstrook
filmstudio's	filmstudio
filmt	film
filmtape	filmtape
filmtapes	filmtape
filmtoestellen	filmtoestel
filmversies	filmversie
filmvoorstelling	filmvoorstelling
filmvoorstellingen	filmvoorstelling
filmzaal	filmzaal
filmzalen	filmzaal
filmzonnen	filmzon
filologen	filoloog
filoloog	filoloog
filosofeer	filosofeer
filosofeerde	filosofeer
filosofeerden	filosofeer
filosofeert	filosofeer
filosofen	filosoof
filosoferen	filosofeer
filosoferend	filosofeer
filosoferende	filosofeer
filosofiebeoefening	filosofiebeoefening
filosofieen	filosofie
filosofietje	filosofie
filosofietjes	filosofie
filosofischer	filosofisch
filosofischere	filosofisch
filosofischt	filosofisch
filosofischte	filosofisch
filosoof	filosoof
filozellen	filozellen
filterde	filter
filterden	filter
filterkaars	filterkaars
filtert	filter
filtertje	filter
filtertjes	filter
filterzakje	filterzak
filterzakjes	filterzak
filtra	filtrum
filtraat	filtraat
filtraten	filtraat
filtreer	filtreer
filtreerbaar	filtreerbaar
filtreerbare	filtreerbaar
filtreerde	filtreer
filtreerden	filtreer
filtreerkannen	filtreerkan
filtreerkolf	filtreerkolv
filtreersteen	filtreersteen
filtreert	filtreer
filtreertoestellen	filtreertoestel
filtreren	filtreer
filtrerend	filtreer
filtrerende	filtreer
fimose	fimose
Fin	Fin
finaal	finaal
finale	finaal
finales	finale
financiele	financieel
financien	financie
financierde	financier
financierden	financier
financiering	financiering
financieringen	financiering
financieringsaangelegenheden	financieringsaangelegenheid
financieringsaangelegenheid	financieringsaangelegenheid
financieringsbehoefte	financieringsbehoefte
financieringsbronnen	financieringsbron
financieringsmethode	financieringsmethode
financieringsmethoden	financieringsmethode
financieringsmogelijkheden	financieringsmogelijkheid
financieringsmogelijkheid	financieringsmogelijkheid
financieringsprobleem	financieringsprobleem
financieringsproblemen	financieringsprobleem
financieringsregeling	financieringsregeling
financieringsregelingen	financieringsregeling
financieringssaldo's	financieringssaldo
financieringsstructuur	financieringsstructuur
financieringssysteem	financieringssysteem
financieringssystemen	financieringssysteem
financiert	financier
financies	financie
financiewezen	financiewezen
fine	fine
fineer	fineer
fineerde	fineer
fineerden	fineer
fineerplaat	fineerplaat
fineerplaten	fineerplaat
fineert	fineer
fineerzaag	fineerzaag
fineerzagen	fineerzaag
fineren	fineer
finerend	fineer
finerende	fineer
finesse	finesse
finesses	finesse
fingeer	fingeer
fingeerde	fingeer
fingeerden	fingeer
fingeert	fingeer
fingeren	fingeer
fingerend	fingeer
fingerende	fingeer
finishdraad	finishdraad
finishdraden	finishdraad
finishfoto's	finishfoto
finisht	finish
finishte	finish
finishten	finish
Finland	Finland
finlandisering	finlandisering
finlandiseringen	finlandisering
Finnen	Fin
Fins	Fins
Finse	Fins
fiolen	fiool
Fiom	Fiom
fiorituren	fiorituur
Firato	Firato
firmaatje	firma
firmaatjes	firma
firmanaam	firmanaam
firmante	firmante
firma's	firma
Firmin	Firmin
fiscaal	fiscaal
fiscale	fiscaal
fiscalen	fiscaal
fiscalisering	fiscalisering
fissen	fis
fissuren	fissuur
fissuur	fissuur
fisteltje	fistel
fisteltjes	fistel
fistuleus	fistuleuz
fithaak	fithaak
fithaken	fithaak
fitissen	fitis
fitnesscentra	fitnesscentrum
fitnessruimte	fitnessruimte
fitnessruimten	fitnessruimte
fitnessruimtes	fitnessruimte
fits	fits
fitst	fit
fitste	fit
fittend	fit
fittende	fit
fittere	fit
Fitzgerald	Fitzgerald
fixatief	fixatiev
fixaties	fixatie
fixeer	fixeer
fixeerde	fixeer
fixeerden	fixeer
fixeerspuitje	fixeerspuit
fixeerspuitjes	fixeerspuit
fixeert	fixeer
fixeren	fixeer
fixerend	fixeer
fixerende	fixeer
fixering	fixering
f'je	f
f'jes	f
flabben	flab
flabberde	flabber
flabberden	flabber
flabbert	flabber
flaconnetje	flacon
flaconnetjes	flacon
fladderde	fladder
fladderden	fladder
fladdert	fladder
